# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Mar 06 09:51:45 PST 2023 [seed=666]
# -seed 666 -overwrite /home/andrew/expmDerivative/code/covid10Mar_285plusNYC.noRandomnoHMC.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	sampleLoc.clock.rate	glmCoefficients1	glmCoefficients2	glmCoefficients3	c_allTransitions[1]
0	-765.009030320956	-5.417507141293854	-759.5915231796621	0.31901086269083007	2019.8941038914074	22.84641495005166	3.5	0.1	0.8	2.0	105.0
100	-663.7273262957974	-5.1979300681570955	-658.5293962276403	0.31901086269083007	2019.8941038914074	22.84641495005166	1.5339095582158044	0.09010835499523254	0.8331416006243377	1.4802496318442704	102.0
200	-649.1666378072957	-4.94559433657235	-644.2210434707234	0.31901086269083007	2019.8941038914074	22.84641495005166	4.24958608969941	0.06792343510070814	0.9325310283948958	0.021676029914354918	111.0
300	-648.4452846916795	-4.925608763818876	-643.5196759278606	0.31901086269083007	2019.8941038914074	22.84641495005166	4.594241208743494	0.0942215883041227	0.8400921124923991	-0.013435588028822623	103.0
400	-649.767138241148	-4.8636991701833665	-644.9034390709646	0.31901086269083007	2019.8941038914074	22.84641495005166	4.238082184921207	0.07565638925659053	0.4259815284097008	0.1798668377842032	104.0
500	-649.1031832744684	-4.8662869952425485	-644.2368962792258	0.31901086269083007	2019.8941038914074	22.84641495005166	4.249917811484547	0.05910780669535204	0.455667988819454	0.17062175342684366	104.0
600	-650.328127777671	-4.907060757594551	-645.4210670200765	0.31901086269083007	2019.8941038914074	22.84641495005166	3.471032513345152	0.05872412378001442	0.5046394285089107	0.5552652113054086	105.0
700	-647.3071307958548	-4.884964230566666	-642.4221665652882	0.31901086269083007	2019.8941038914074	22.84641495005166	3.8953191070442044	0.049184830599976234	0.6061523568771713	0.1407724648984993	107.0
800	-650.390887049547	-4.884367225902656	-645.5065198236443	0.31901086269083007	2019.8941038914074	22.84641495005166	5.555807389619311	0.033534475708849217	0.6105862247344392	0.10459721781143133	108.0
900	-650.3569042892673	-4.8668162992626	-645.4900879900047	0.31901086269083007	2019.8941038914074	22.84641495005166	5.284575354810027	0.03574521039094092	0.4750713094385591	-0.13229812784918935	101.0
