# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Mar 06 09:51:55 PST 2023 [seed=666]
# -seed 666 -overwrite /home/andrew/expmDerivative/code/covid10Mar_285plusNYC.noRandomyesHMC.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	sampleLoc.clock.rate	glmCoefficients1	glmCoefficients2	glmCoefficients3	c_allTransitions[1]
0	-765.009030320956	-5.417507141293854	-759.5915231796621	0.31901086269083007	2019.8941038914074	22.84641495005166	3.5	0.1	0.8	2.0	105.0
100	-650.9726265071844	-5.07435846592451	-645.8982680412598	0.31901086269083007	2019.8941038914074	22.84641495005166	2.909199877559973	-0.07808511616329367	0.9384123799659864	1.0090071936342118	106.0
200	-647.3016153920404	-4.986050003261436	-642.315565388779	0.31901086269083007	2019.8941038914074	22.84641495005166	3.3485566951560335	-0.020028941750899587	0.9100008345039611	0.6081448992099594	105.0
300	-646.6539759390282	-4.966064390414986	-641.6879115486132	0.31901086269083007	2019.8941038914074	22.84641495005166	3.198680733307301	0.01504186722308838	0.8302936009365288	0.5906304017262823	105.0
400	-647.0220444431292	-4.98307124073099	-642.0389732023982	0.31901086269083007	2019.8941038914074	22.84641495005166	3.0952696860657762	0.021308778433925986	0.8380863185552464	0.6867823921077555	104.0
500	-646.718328472177	-4.898803206802919	-641.8195252653741	0.31901086269083007	2019.8941038914074	22.84641495005166	4.188396193060413	0.06036278990888741	0.6526700998272899	0.2659823273421951	106.0
600	-647.4954548547685	-4.906081597218347	-642.5893732575502	0.31901086269083007	2019.8941038914074	22.84641495005166	4.208429348405174	0.081715046576046	0.671718552943938	0.31735230295354994	101.0
700	-650.4017055296652	-4.941038141244675	-645.4606673884205	0.31901086269083007	2019.8941038914074	22.84641495005166	2.752393398055496	-0.019897591295666803	0.645846279306484	0.6486406316082665	105.0
800	-647.6870806847437	-4.90421826520706	-642.7828624195366	0.31901086269083007	2019.8941038914074	22.84641495005166	4.765865233155333	0.01851045199785006	0.7151821123573521	0.1784962202304383	108.0
900	-647.1590895953524	-4.909988072139656	-642.2491015232127	0.31901086269083007	2019.8941038914074	22.84641495005166	3.5376084080494876	0.04691473602812339	0.7322542621305644	0.22682625487683145	102.0
1000	-646.6890327749906	-4.897751781437261	-641.7912809935533	0.31901086269083007	2019.8941038914074	22.84641495005166	3.9844719194586338	0.06999965103876354	0.654071519759922	0.2434083339589065	110.0
1100	-648.7563710794439	-4.906226387590792	-643.8501446918531	0.31901086269083007	2019.8941038914074	22.84641495005166	5.111746126362025	0.05969301736608998	0.7159230919943016	0.20891347587589462	104.0
1200	-649.8635703550999	-4.870559930218917	-644.9930104248809	0.31901086269083007	2019.8941038914074	22.84641495005166	3.476979790699944	0.0581346386424265	0.4862120794641678	0.18611955559141127	101.0
1300	-648.1478337577469	-4.874852531039817	-643.2729812267071	0.31901086269083007	2019.8941038914074	22.84641495005166	4.691464948931515	0.08897964281886497	0.538332611308117	-0.10508920369723064	105.0
1400	-651.5584156363999	-4.85366088258569	-646.7047547538142	0.31901086269083007	2019.8941038914074	22.84641495005166	4.125152066124211	0.0925511336968077	0.3607690034397155	-0.022581942857909303	108.0
1500	-646.9337391416207	-4.893403004976758	-642.0403361366439	0.31901086269083007	2019.8941038914074	22.84641495005166	4.446438010653782	0.059891489753981314	0.6733732564298578	0.012180986960236319	106.0
1600	-647.8948267017905	-4.9009778053126904	-642.9938488964779	0.31901086269083007	2019.8941038914074	22.84641495005166	4.712105596178369	0.06979591758202175	0.7030107972665651	-0.1366369677876434	108.0
1700	-647.7205398556223	-4.882044199644502	-642.8384956559778	0.31901086269083007	2019.8941038914074	22.84641495005166	3.914948230673387	0.07442209213372539	0.5951456577192644	0.08099052478857038	109.0
1800	-648.0360168609776	-4.963379973753444	-643.0726368872241	0.31901086269083007	2019.8941038914074	22.84641495005166	3.9605874584829244	0.005498779669567442	0.817998397035524	0.5897720284535153	107.0
1900	-647.7580536749092	-4.951914681823524	-642.8061389930857	0.31901086269083007	2019.8941038914074	22.84641495005166	4.38756409989677	0.048473996400684845	0.8983971621378833	0.3402839034878089	103.0
2000	-647.8849495171896	-4.908425366574523	-642.9765241506151	0.31901086269083007	2019.8941038914074	22.84641495005166	4.025302271011315	0.06023445312577147	0.7574269091119961	0.004700027131183027	108.0
2100	-646.3715847436687	-4.906203692759673	-641.4653810509091	0.31901086269083007	2019.8941038914074	22.84641495005166	4.072466819969733	0.059307344591248264	0.699399293313586	0.25864199024238366	113.0
2200	-648.1459453512135	-4.8974968263603476	-643.2484485248532	0.31901086269083007	2019.8941038914074	22.84641495005166	3.741555634546729	0.09737833411209686	0.6117537567380765	0.32587157239370773	108.0
2300	-647.0393339901603	-4.884546552905526	-642.1547874372549	0.31901086269083007	2019.8941038914074	22.84641495005166	4.105104092005887	0.065922668711222	0.5907766564235776	0.18152806082903417	118.0
2400	-648.3280687271805	-4.8735599978785755	-643.4545087293019	0.31901086269083007	2019.8941038914074	22.84641495005166	4.097247992339048	0.05257086653109516	0.5010040625532827	0.21131513427827772	107.0
2500	-647.3526099027195	-4.900275510387633	-642.4523343923319	0.31901086269083007	2019.8941038914074	22.84641495005166	4.629738463203293	0.0966345288440411	0.7079367169970179	0.04042678954360354	110.0
